epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9366,1.83537,2.34398,1.52759,0.71511,0.69983,0.73609,0.46387,1.32223,1.17871,1.26324,0.005842,0.005842,0.005842
44,9581.89,1.83531,2.36507,1.53452,0.70902,0.7224,0.73795,0.46409,1.32,1.14134,1.25653,0.005743,0.005743,0.005743
45,9798.05,1.80755,2.32467,1.51652,0.68197,0.70519,0.74022,0.46942,1.31766,1.17701,1.24818,0.005644,0.005644,0.005644
46,10014.7,1.83011,2.3445,1.52602,0.71772,0.73616,0.74759,0.47624,1.30284,1.13083,1.2446,0.005545,0.005545,0.005545
47,10231,1.81123,2.346,1.52444,0.71618,0.70298,0.74564,0.4743,1.32669,1.14355,1.26005,0.005446,0.005446,0.005446
48,10446.1,1.82355,2.35206,1.52577,0.72581,0.72867,0.75529,0.48207,1.32548,1.12512,1.26136,0.005347,0.005347,0.005347
49,10661.6,1.79586,2.32459,1.50213,0.6876,0.71358,0.72855,0.46408,1.30913,1.14506,1.24516,0.005248,0.005248,0.005248
50,10880,1.80486,2.31776,1.49683,0.67731,0.71526,0.71807,0.45608,1.30851,1.14479,1.24677,0.005149,0.005149,0.005149
51,11101,1.76418,2.25526,1.48305,0.71471,0.71936,0.75361,0.48508,1.30763,1.12029,1.24468,0.00505,0.00505,0.00505
52,11318.2,1.8032,2.30985,1.51609,0.73635,0.72452,0.74894,0.4808,1.30168,1.1062,1.24166,0.004951,0.004951,0.004951
53,11536.1,1.76242,2.24529,1.47145,0.74463,0.72353,0.75194,0.47972,1.29826,1.10019,1.2401,0.004852,0.004852,0.004852
54,11752.8,1.75399,2.2403,1.47699,0.72453,0.72086,0.74806,0.48057,1.30915,1.09705,1.24553,0.004753,0.004753,0.004753
55,11970,1.76058,2.2526,1.48592,0.70391,0.69869,0.72742,0.47534,1.28542,1.12597,1.23316,0.004654,0.004654,0.004654
56,12190.2,1.74492,2.22446,1.47856,0.71819,0.72603,0.74849,0.47936,1.30035,1.08944,1.24449,0.004555,0.004555,0.004555
57,12410.3,1.7495,2.23494,1.47179,0.70023,0.68939,0.71345,0.46402,1.29294,1.14571,1.23682,0.004456,0.004456,0.004456
58,12631.9,1.75583,2.23227,1.47752,0.71991,0.68984,0.73254,0.47464,1.28797,1.09495,1.23625,0.004357,0.004357,0.004357
59,12852.8,1.73095,2.21695,1.47209,0.70115,0.70261,0.73075,0.47347,1.28418,1.10969,1.23581,0.004258,0.004258,0.004258
